text,audio_path
A muddled noise of broken channel of the TV,clotho_16k/Distorted AM Radio noise.wav
A television blares the rhythm of a static TV.,clotho_16k/Distorted AM Radio noise.wav
Loud television static dips in and out of focus,clotho_16k/Distorted AM Radio noise.wav
The loud buzz of static constantly changes pitch and volume.,clotho_16k/Distorted AM Radio noise.wav
heavy static and the beginnings of a signal on a transistor radio,clotho_16k/Distorted AM Radio noise.wav
A person is turning a map over and over.,clotho_16k/Paper_Parchment_Rustling.wav
A person is very carefully rapping a gift for someone else.,clotho_16k/Paper_Parchment_Rustling.wav
A person is very carefully wrapping a gift for someone else.,clotho_16k/Paper_Parchment_Rustling.wav
"He sighed as he turned the pages of the book, stopping to scan the information.",clotho_16k/Paper_Parchment_Rustling.wav
"papers are being turned, stopped, then turned again and someone is breathing.",clotho_16k/Paper_Parchment_Rustling.wav
Several barnyard animals mooing in a barn while it rains outside.,clotho_16k/03 Whales Slowing Down.wav
"The vocalization of several whales, along with the clicking of large numbers of shrimp, reverberated below in the water.",clotho_16k/03 Whales Slowing Down.wav
"Underwater, large numbers of shrimp clicking and several whales vocalizing.",clotho_16k/03 Whales Slowing Down.wav
Whales sing to one another over the flowing water in the distance.,clotho_16k/03 Whales Slowing Down.wav
wales sing to one another with water flowing in the background,clotho_16k/03 Whales Slowing Down.wav
An office chair is squeaking as someone bends back and forth in it.,clotho_16k/Rope tied to boat in port.wav
Popping and squeaking gradually tapers off to a low level.,clotho_16k/Rope tied to boat in port.wav
Someone is opening a creaky door slowly while a dog barks in the background,clotho_16k/Rope tied to boat in port.wav
Squeaking and popping followed by gradual popping and tapering off.,clotho_16k/Rope tied to boat in port.wav
an office chair is squeaking as someone leans forward and backward in it,clotho_16k/Rope tied to boat in port.wav
A flying bee is buzzing loudly around an object and its wing hits it.,clotho_16k/carpenter bee.wav
An annoying fly is buzzing loudly and consistently.,clotho_16k/carpenter bee.wav
An insect buzzing in the foreground as birds chirp in the background.,clotho_16k/carpenter bee.wav
"An insect trapped in a spider web struggles, breaks free and flies away.",clotho_16k/carpenter bee.wav
"Outdoors, insect trapped in a spider web and then breaks loose and flies away.",clotho_16k/carpenter bee.wav
A bow playing a stringed instrument in a one note tone repeatedly before violins join to create the melody.,clotho_16k/violin1.wav
A low stringed instrument drones a steady tone and is eventually joined by violins.,clotho_16k/violin1.wav
A large stringed instrument and a pair of violins are playing.,clotho_16k/violin1.wav
A musical instrument creates a tune and is followed by other instruments.,clotho_16k/violin1.wav
An orchestra practicing for an upcoming concert in an enclosed room.,clotho_16k/violin1.wav
"As thunder claps far in the distance, the rain pours down.",clotho_16k/121006_rain&amp;storm.wav
Rain pours down and thunder claps far in the distance.,clotho_16k/121006_rain&amp;storm.wav
Substantial rain and wind are pouring and spouting around and thunder is available.,clotho_16k/121006_rain&amp;storm.wav
The rain falls down the thunder is rumbling as someone is pounding and a car passes.,clotho_16k/121006_rain&amp;storm.wav
"The rain falls down while someone is pounding, a car passes by and the thunder is rumbling",clotho_16k/121006_rain&amp;storm.wav
Something goes round that is playing its song.,clotho_16k/draaiorgel2.wav
"At the fair, music is playing near a carousel through the speaker.",clotho_16k/draaiorgel2.wav
"Chiming of bells, whistles and horns at a performance.",clotho_16k/draaiorgel2.wav
Fair kind music is being played at the circus grounds.,clotho_16k/draaiorgel2.wav
Polka or fair kind of music is being played.,clotho_16k/draaiorgel2.wav
A paper printer is printing off multiple pages.,clotho_16k/Officejet Printer.wav
A printer printing off multiple pages of paper,clotho_16k/Officejet Printer.wav
A small printing device performing duties and printing pages of text.,clotho_16k/Officejet Printer.wav
A tiny printer performs its duties and prints the words.,clotho_16k/Officejet Printer.wav
An automatic cutter feeds paper and cuts it.,clotho_16k/Officejet Printer.wav
"A buzzer warns of departure, a air brake is released, while a roller coaster ride takes off.",clotho_16k/Stockholm subway C20 train departing.wav
"A horn beeps for an amusement park ride, air brakes release and the ride takes off.",clotho_16k/Stockholm subway C20 train departing.wav
"A warning button sounds, then a vehicle goes at a high speed.",clotho_16k/Stockholm subway C20 train departing.wav
"After a horn beeps for an amusement park ride, the air brakes release and the ride begins.",clotho_16k/Stockholm subway C20 train departing.wav
"First comes a beeping sound, then a door closing, then the train starts to speed up.",clotho_16k/Stockholm subway C20 train departing.wav
A very robotic synth modulates and reverberates within itself,clotho_16k/metalTunnel.wav
An interesting instrument whose sound is going up and down.,clotho_16k/metalTunnel.wav
The synth is reverberated at an rhythmic meter,clotho_16k/metalTunnel.wav
it is like a iron rod cutting sound and it is a workshop,clotho_16k/metalTunnel.wav
it is like an iron rod cutting sound and it is a workshop,clotho_16k/metalTunnel.wav
A serene bit of nightfall is met by crickets chirping,clotho_16k/Ambience Night crickets.wav
Crickets chirp in the background as a soft wind blows.,clotho_16k/Ambience Night crickets.wav
Crickets chirping outdoors at night with a gentle breeze blowing.,clotho_16k/Ambience Night crickets.wav
"In the calmness of nightfall, crickets are chirping.",clotho_16k/Ambience Night crickets.wav
"While the wind softly blows, crickets chirp in the background.",clotho_16k/Ambience Night crickets.wav
A skateboarder is coasting on his board on a back and forth ramp as voices talk in the background.,clotho_16k/Maria Hernandez Park September 1st.wav
A skateboarder rides his board up and down a ramp as people speak in the background.,clotho_16k/Maria Hernandez Park September 1st.wav
People skateboard with some children who are faintly speaking.,clotho_16k/Maria Hernandez Park September 1st.wav
Boards with small wheels are being ridden while children are quietly speaking.,clotho_16k/Maria Hernandez Park September 1st.wav
People skateboard around at the park while chatting and laughing.,clotho_16k/Maria Hernandez Park September 1st.wav
A group of people is standing on the street near a busy freeway.,clotho_16k/Traffic Light.wav
A group of people standing on the street near a busy freeway.,clotho_16k/Traffic Light.wav
A detector device is operating and detecting nothing and then it registers some activity.,clotho_16k/Traffic Light.wav
An electric machine is operating and detecting nothing and then it suddenly detects some activity.,clotho_16k/Traffic Light.wav
Unidentified squeaking occurs several times while men talk in the background.,clotho_16k/Traffic Light.wav
"A sweeping swaying sound rising upward repeatedly, then going downward repeatedly.",clotho_16k/jettish.wav
A sweeping swishing sound becomes louder and fades repeatedly.,clotho_16k/jettish.wav
Heavily distorted siren sounds make them sound like spacecraft.,clotho_16k/jettish.wav
They sound like a spacecraft when their siren sounds are highly distorted.,clotho_16k/jettish.wav
fancy alarm or alert system that is constantly going off,clotho_16k/jettish.wav
A radio cycling through stations as it is being repaired.,clotho_16k/broken comms2.wav
A radio that is trying to be tuned and fixed.,clotho_16k/broken comms2.wav
A series of bleeps and bloops fire off randomly.,clotho_16k/broken comms2.wav
The computer is beeping as a voice recording drags .,clotho_16k/broken comms2.wav
Various computer noises go off as a voice call breaks up,clotho_16k/broken comms2.wav
Air is being forced through a small opening and almost making whistling noises.,clotho_16k/wind3.wav
The wind howled violently and shrilly then began to taper off.,clotho_16k/wind3.wav
The wind is blowing through the corn field very loudly.,clotho_16k/wind3.wav
The wind is heard whistling outside from inside.,clotho_16k/wind3.wav
Wind howls violently and shrilly then begins to taper off.,clotho_16k/wind3.wav
